TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
221.03822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1467969999999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.239226,0.0,10.0,1.2228731874268564,0.0,0.0,,0.0,,0.0,0.14109018261191134,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.05030202865600586,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.20100600000000668,-3.7322876468115185,0.0,,,0.0,8.523622047244011,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.799889541795295,2337.1435546875,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,-6.937582374444182E9,1.0,1382.85693359375,,0.021465000000006285,1.0,,0.0,6.56956198262967,,8.523622047244011,,0.0,0.0,0.0,-0.9743152389165504,1.0,,0.0,,,0.0,-0.8182058148779655,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,64.18639386184142,0.0,,0.0,0.0,0.0,
221.26745,0.0,10.0,0.3328090254002008,0.0,0.0,,0.0,,0.0,359.2868233150222,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.05030202865600586,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.028223999999994476,-3.691072779573625,0.0,,,0.0,8.444881889763696,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.80699148769273,1817.142578125,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,-6.937582374444182E9,1.0,1382.85693359375,,0.010538999999994303,1.0,,0.0,6.56956198262967,,8.444881889763696,,0.0,0.0,0.0,-0.9407295380803941,1.0,,0.0,,,0.0,-0.8182058148779655,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,64.18639386184142,0.0,,0.0,0.0,0.0,
221.286771,0.0,10.0,359.2294698354105,0.0,0.0,,0.0,,0.0,359.63740603554646,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.05030202865600586,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.019320999999990818,-3.6630334287127306,0.0,,,0.0,8.464566929133774,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.806273258974784,1817.142578125,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,-6.937582374444182E9,1.0,1371.42822265625,,0.011524000000008527,1.0,,0.0,6.56956198262967,,8.464566929133774,,0.0,0.0,0.0,-0.9304536160345004,1.0,,0.0,,,0.0,-0.8182058148779655,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,64.18639386184142,0.0,,0.0,0.0,0.0,
221.305721,0.0,10.0,358.4476892349258,0.0,0.0,,0.0,,0.0,0.4139024755556914,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.05030202865600586,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.018950000000018008,-3.626181659362943,0.0,,,0.0,8.464566929133774,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.80854053461581,1354.2861328125,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,-6.937582374444182E9,1.0,1359.999755859375,,0.011030000000005202,1.0,,0.0,6.56956198262967,,8.464566929133774,,0.0,0.0,0.0,-0.913643655961622,1.0,,0.0,,,0.0,-0.8182058148779655,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,64.18639386184142,0.0,,0.0,0.0,0.0,
221.323311,0.0,10.0,1.1476687239378585,0.0,0.0,,0.0,,0.0,359.80873423257725,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04830741882324219,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.01758999999998423,-3.561584895869,0.0,,,0.0,8.444881889763696,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.809854954359395,965.71484375,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,-6.937582374444182E9,1.0,1359.999755859375,,0.013777000000004591,1.0,,0.0,6.481132833505368,,8.444881889763696,,0.0,0.0,0.0,-0.893266776787671,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,64.18639386184142,0.0,,0.0,0.0,0.0,
221.342987,0.0,10.0,0.4108684601722129,0.0,0.0,,0.0,,0.0,0.4108684601722129,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04830741882324219,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.019676000000004024,-3.47734557857769,0.0,,,0.0,8.779527559055033,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81207336512862,965.71484375,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,-6.937582374444182E9,1.0,1359.999755859375,,0.012429999999994834,1.0,,0.0,6.481132833505368,,8.779527559055033,,0.0,0.0,0.0,-0.8867143320903176,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,64.18639386184142,0.0,,0.0,0.0,0.0,
221.360448,0.0,10.0,356.8234990215541,0.0,0.0,,0.0,,0.0,1.0914289125921157,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04830741882324219,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.017460999999997284,-3.450627019740183,0.0,,,0.0,8.720472440944796,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8188563946158,965.71484375,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,-6.937582374444182E9,1.0,1348.5712890625,,0.008331999999995787,1.0,,0.0,6.481132833505368,,8.720472440944796,,0.0,0.0,0.0,-0.891425915922675,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,64.18639386184142,0.0,,0.0,0.0,0.0,
221.375467,0.0,10.0,357.9714505538025,0.0,0.0,,0.0,,0.0,359.7170044986078,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04830741882324219,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.01501899999999523,-3.425028922143968,0.0,,,0.0,8.425196850393615,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.824516384102985,645.71484375,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,-6.937582374444182E9,1.0,1337.142822265625,,0.011742000000026565,1.0,,0.0,6.481132833505368,,8.425196850393615,,0.0,0.0,0.0,-0.8758954299609427,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,64.18639386184142,0.0,,0.0,0.0,0.0,
