TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
347.315677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014424000000019532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347.444387,,1.0,359.16968470083,3475.0,0.0,,,,,0.04612701358328671,0.35,0.0,,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.12659087299152816,0.0,,0.0,0.0,0.0,0.04397416114807129,-0.5,0.0,,,0.35,1.0,1.0,,,0.12871000000001231,-1.5027418402594999,0.0,,,,6.96850393700776,,,,,0.0,,0.0,0.0,0.0,,0.0,181.09923267120752,-0.0,,-0.0,,,,,1.0,,0.12659087299152816,,,1.0,,-9.079635052023637E7,,-0.0,0.02777400000002217,,1.0,,1.0,6.693974742211277,,6.96850393700776,,1.0,,,-0.11195346089584782,0.0,,4.75,,,-0.12659087299152816,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,181.03593723471175,,,1.0,0.0,,
347.479488,,1.0,354.8119914636383,3475.0,0.0,,,,,358.3512972118182,0.35,27.71875,,,0.0,0.0,,,0.0,,,1.0,,0.0,41.21875,,-0.14502351558002147,0.0,,0.0,0.0,-9.765923023223877E-4,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.035100999999997384,-1.5159774847849348,0.96875,,,,8.464566929133746,,,,,0.0,,0.06457716971635818,9.765923023223877E-4,0.0,,0.0,181.10844899250176,-0.0,,-0.0,,,,,1.0,,1.3386855887692364,,,0.0,,-1.102527113460013E8,,5.714285850524902,0.012411999999983436,,1.0,,1.0,6.5868326289984935,,8.464566929133746,,1.0,,,-0.11507386973485102,0.0,,4.75,,,1.0486385576091934,0.0,,0.34375,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,181.03593723471175,,,1.0,24.53125,,
347.504754,,1.0,359.01109742109094,3475.0,0.1875,,,,,2.0822549585162493,0.35,16.28125,,,0.0,0.0,,,0.0,,,1.0,,0.25,76.8125,,-0.17078384935291524,0.0,,0.0,0.0625,0.00833155307918787,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.025265999999987798,-1.4969842246322018,41.25,,,,8.917322834645557,,,,,0.0,,0.14419995248317719,0.010620441287755966,0.0,,0.0,181.1213291593882,-0.0,,-0.0,,,,,1.0,,12.107404581245067,,,0.0,,-1.2569426755692586E8,,5.714285850524902,0.009218000000032589,,1.0,,1.0,6.5868326289984935,,8.917322834645557,,1.0,,,-0.11327475264778329,0.0,,4.75,,,11.765836882539237,0.0,,33.34375,,,1.0,,0.0625,0.0,,,,1.0,0.0,0.0,,181.03593723471175,,,1.0,24.1875,,
347.526669,,1.0,3.0162412120984285,3475.0,0.21875,,,,,4.884486899878295,0.35,12.4375,,,0.0,0.0,,,0.0,,,1.0,,28.9375,67.0625,,-0.1842905711844196,0.0,,0.0,0.03125,0.00833155307918787,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.021915000000035434,-1.490778988151815,56.96875,,,,9.212598425196738,,,,,0.0,,0.22418896853923798,0.09280678629875183,0.0,,0.0,181.12808252030396,114.28572082519531,,0.5714285969734192,,,,,1.0,,16.099784880373956,,,0.0,,-1.3248855228973266E8,,11.428571701049805,0.011054999999998927,,1.0,,1.0,6.5868326289984935,,9.212598425196738,,1.0,,,-0.06517635911290047,0.0,,4.75,,,15.731203738005117,0.0,,48.71875,,,1.0,,0.15625,0.0,,,,1.0,0.0,0.0,,181.03593723471175,,,1.0,25.03125,,
347.546064,,1.0,342.63567256527466,3475.0,28.3125,,,-1.0,,352.3434234005203,0.35,7.90625,4.316027519865628,6.875,0.0,0.0,,0.0,0.0,,,1.0,,31.9375,21.625,75.40414285714286,-0.15728974652029137,0.0,0.0,0.0,26.75,0.10104678571224213,0.04698538780212402,0.0,0.0,,0.0,0.35,0.0,1.0,,,0.019394999999974516,-2.206589305875887,84.21875,0.0,,,8.996062992125871,0.0,,,,0.0,,0.46440017223358154,0.10055848956108093,0.0,,0.0,181.1145821079719,920.0,10.95,4.5714287757873535,94.31602751986563,80.875,,,1.0,0.17333984375,28.009404787601945,,0.0,0.0,,-1.3310621453816964E8,,68.57142639160156,0.04686500000002525,10.406183837890625,1.0,,1.0,6.5868326289984935,,8.996062992125871,0.0,1.0,,,-0.09257339590913388,0.0,-1.0,0.0,0.363525390625,16.0,27.69482529456136,0.0,,86.59375,,0.46337890625,1.0,0.46589747071266174,29.96875,0.0,0.0,,0.0,1.0,4.0,0.0,0.0,181.03593723471175,,,1.0,20.28125,,
347.604778,,1.0,0.13769726659863984,3475.0,23.71875,,,,,352.6358943856951,0.35,8.28125,,,0.0,0.0,,,0.0,,,1.0,,24.8125,14.9375,,-0.1637072914776354,0.0,,0.0,26.90625,0.09418012201786041,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.05871400000000904,-2.30522482402187,92.9375,,,,8.937007874015634,,,,,0.0,,0.4524674117565155,0.10055848956108093,0.0,,0.0,181.11779088045057,1457.142822265625,,4.5714287757873535,,,,,1.0,,31.994695909856688,,,0.0,,-1.3217972116551416E8,,68.57142639160156,0.00874799999996867,,1.0,,1.0,6.5868326289984935,,8.937007874015634,,1.0,,,-0.13206119342336903,0.0,,0.0,,,31.667281326901417,0.0,,67.53125,,,1.0,,24.90625,0.0,,,,1.0,4.0,0.0,,181.03593723471175,,,1.0,19.3125,,
347.621939,,1.0,343.8047535489956,3475.0,23.71875,,,,,2.6736583889882253,0.35,9.46875,,,0.0,0.0,,,0.0,,,1.0,,36.4375,13.34375,,-0.21203955643488825,0.0,,0.0,26.3125,0.1893063187599182,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.017160999999987325,-2.4176418061452067,50.9375,,,,8.818897637795162,,,,,0.0,,0.6241645812988281,0.18494217097759247,0.0,,0.0,181.1419570129292,1457.142822265625,,6.285714626312256,,,,,1.0,,36.02190175211132,,,0.0,,-1.3156205891707718E8,,125.71428680419922,0.009615999999994074,,1.0,,1.0,6.5868326289984935,,8.818897637795162,,1.0,,,-0.1567718133337335,0.0,,0.0,,,35.59782263924154,0.0,,81.59375,,,1.0,,31.90625,0.0,,,,1.0,5.142857551574707,0.0,,181.03593723471175,,,1.0,19.78125,,
347.638229,,1.0,333.1507826305027,3475.0,31.375,,,,,3.2415178448360913,0.35,8.0625,,,0.0,0.0,,,0.0,,,1.0,,42.0625,13.9375,,-0.2197992635655055,0.0,,0.0,35.40625,0.22812585532665253,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.01629000000002634,-2.792470608151834,73.6875,,,,8.54330708661406,,,,,0.0,,0.7043672204017639,0.22464674711227417,0.0,,0.0,181.1458368664945,2000.0,,10.285715103149414,,,,,1.0,,40.00853503653932,,,0.0,,-1.306355655444217E8,,217.14285278320312,0.012224000000003343,,1.0,,1.0,6.5868326289984935,,8.54330708661406,,1.0,,,-0.08020310739442198,0.0,,0.0,,,39.56893650940831,0.0,,99.90625,,,1.0,,36.21875,0.0,,,,1.0,9.142857551574707,0.0,,181.03593723471175,,,1.0,18.5625,,
